,,2011,,,2012,,,2013,,
,,Gastos,Pontos,Vitórias,Gastos,Pontos,Vitória,Gastos,Pontos,Vitória
1,São Paulo,226,59,16,284.1,66,20,364.7,50,14
2,Corinthians,291,71,21,358.5,57,15,316,50,11
3,Internacional,198,60,16,264.2,52,13,276.7,48,11
4,Flamengo,185,61,15,212,50,12,272.9,45,12
5,Atlético-MG,100,45,13,163,72,20,227.9,57,12
6,Grêmio,143,48,13,233.5,71,20,192.3,65,18
7,Santos,189,53,15,197.8,53,13,190.3,57,15
8,Cruzeiro,129,43,11,120.4,52,15,187.9,76,23
9,Palmeiras,148,50,11,244.6,34,9,181.2,79,24
10,Vasco da Gama,137,69,21,146.2,58,16,159.7,44,11
11,Botafogo,59,56,16,122.8,55,15,154.4,61,17
12,Fluminese,80,63,20,151.2,77,22,124.8,46,12
13,Coritiba,67,57,16,86.8,48,14,96.7,48,12
14,Vitória,34,60,17,52.3,71,21,65.1,59,16
15,Goiás,19,52,16,53.1,78,23,55.5,59,16
16,Sport,47,61,17,79.8,41,10,51.4,63,20
17,Náutico,19,64,17,41.1,49,14,48.1,20,5
18,Ponte Preta,16,63,17,30.1,48,12,45.6,37,9
19,Criciúma,23,51,13,21.3,73,22,45.5,46,13
20,São Caetano,25,51,12,32.6,71,20,39.4,36,9
